AQI,CO,PM10,PM25
36.24828327,134.8,23.7,15.33
32.12047863,152.3,21,14
29.72649573,157.2,20.7,13.67
28.18942125,162,20.3,13.33
27.08982662,166.9,20,13
27.5402735,154.1,21.3,14
28.76704274,141.2,22.7,15
30.38132357,128.4,24,16
32.18602198,121.4,25.3,17
32.27891212,114.4,26.7,18
34.32333151,107.4,28,19
39.67598228,114.8,33.3,22.67
46.67964835,122.2,38.7,26.33
53.34373138,129.6,44,30
54.00520147,124.5,40.3,27.33
51.67536996,119.4,36.7,24.67
47.83988278,114.4,33,22
48.92262759,116.3,37.3,25
52.25550953,118.3,41.7,28
56.61467355,120.2,46,31
58.36494932,119.4,45.7,30.67
59.02099504,118.7,45.3,30.33
58.55803933,117.9,45,30
57.67193789,128,41.3,27.67
55.62658038,138.1,37.7,25.33
52.76433146,148.2,34,23
50.168501,152.1,32.7,22
47.15353452,156,31.3,21
44.23696128,159.9,30,20
43.42836181,150.2,31.3,21
43.60894266,140.5,32.7,22
44.44349969,130.7,34,23
46.09618657,127,36.3,24.67
48.24753833,123.3,38.7,26.33
50.15231973,119.6,41,28
52.15468981,123.3,41.7,28.33
53.84426482,127,42.3,28.67
55.26331481,130.7,43,29
54.48686725,123.7,39.3,26.33
52.28828402,116.7,35.7,23.67
49.50901425,109.7,32,21
48.94194162,108,36,23.67
50.01833411,106.2,40,26.33
52.29045641,104.5,44,29
53.53872064,103.5,43,28.33
54.05132193,102.5,42,27.67
54.02545025,101.5,41,27
52.87597391,113.2,38,25
50.91273567,124.9,35,23
48.36033872,136.6,32,21
45.80802503,140.6,31,20.33
43.4658827,144.7,30,19.67
41.33554809,148.8,29,19
40.63006267,145.7,29.7,19.67
40.6143378,142.6,30.3,20.33
41.10531193,139.5,31,21
43.06877852,135,34.7,23.67
45.85829018,130.5,38.3,26.33
50.44708129,126.1,42,29
53.06890141,131.3,42.3,29
54.79532831,136.6,42.7,29
55.9351183,141.8,43,29
54.13781872,124.5,37.7,25.33
50.42311565,107.2,32.3,21.67
44.75073728,89.9,27,18
42.43961153,83.8,29.3,19.33
42.0233636,77.8,31.7,20.67
42.77561075,71.8,34,22
43.48704447,72.4,34,22.33
44.18078169,72.9,34,22.67
44.8558989,73.5,34,23
44.26266192,90.5,32.3,21.67
42.87455952,107.4,30.7,20.33
41.54165036,124.3,29,19
40.45210009,128.2,27.7,18
38.44712329,132.1,26.3,17
36.12635151,136,25,16
34.8441321,125.3,24.3,16
33.9415407,114.6,23.7,16
33.30311755,103.9,23,16
33.26951595,98.6,24.3,16.67
33.65041443,93.4,25.7,17.33
34.2836017,88.1,27,18
34.5676757,90.1,27,18
34.62607659,92,27,18
34.59030874,94,27,18
35.80571683,101.4,29.3,19.67
37.92900994,108.7,31.7,21.33
40.82970677,116.1,34,23
46.57276207,115.9,39.3,26.67
53.87447758,115.7,44.7,30.33
61.22266667,115.6,50,34
65.94589011,117.7,52,35.33
69.64766789,119.8,54,36.67
72.82871795,122,56,38
76.41973138,128.2,50,40
78.2152381,134.4,50,40
82.11372405,140.6,53.8,43
84.06255922,140.1,53.8,43
86.91274847,139.5,56.3,45
81.83665517,138.9,47.5,38
79.87937816,132.5,47.5,38
52.37769963,126.1,16.3,13
62.18933822,119.6,45,36
64.09410012,118.1,41.3,33
68.04688645,116.5,45,36
70.02295482,115,45,36
68.00976801,122.8,41.3,33
67.0031746,130.5,41.3,33
62.4981685,138.3,43,29
62.91631746,143.8,47,31.67
65.78555311,149.2,51,34.33
69.89253236,154.7,55,37
78.94773138,162.6,65,44
88.00219836,170.6,75,51
102.7057875,178.6,85,58
106.0825071,184.2,77.9,55.67
105.8197802,189.9,70.8,53.33
103.7462759,195.5,63.8,51
108.5448921,225.9,72.5,58
115.9454212,256.2,80,64
115.4788156,286.5,73.8,59
119.8407442,290.2,81.3,65
125.2743087,293.9,86.3,69
127.0312846,297.6,87.5,70
125.0493614,289.7,82.5,66
120.0908268,281.7,67.5,54
118.25665,273.7,72.5,58
119.2581011,264.8,78.8,63
